연번,업종명,상호,영업소소재지(도로 명),"실외, 실내",실외흡연실 형태,
84,당구장업,SBS당구장,서울특별시 광진구 천호대로 112길 7 (능동),실내,,
85,만화대여업소,만화카페 라이브러리,서울특별시 광진구 아차산로 370(자양동),실내,,
86,목욕장업,프라임 노다지 사우나,"서울특별시 광진구 광나루로 56길 63, 지층 (구의동, 프라임프라자상가)",실내,,
87,목욕장업,태영대중목욕탕,서울특별시 광진구 뚝섬로 27길 45 (자양동),실내,,
88,목욕장업,실로암 목욕장,서울특별시 광진구 용마산로 171 (중곡동),실내,,
89,목욕장업,우정탕,서울특별시 광진구 용마산로 7길 68 (중곡동),실내,,
90,목욕장업,헬스사우나,서울특별시 광진구 워커힐로 177 (광장동),실내,,
91,볼링장업,한아름볼링프라자,"서울특별시 광진구 능동로 13길 39, 지하1층 (화양동)",실내,,
92,수영장업,어린이회관 수영장,서울특별시 광진구 광나루로 441 (능동),실내,,
93,식품자동판매기영업,어린이대공원역내자판기,서울특별시 광진구 능동로 11길 지하 210 (화양동),실내,,
94,인터넷컴퓨터게임시설제공업,G PRO PC&CAFE,"서울특별시 광진구 광나루로 382, 지하1,2층 (화양동, 아스하임)",실내,,
